订单号,订单日期,月份,类别,子类别,单价,数量,总销售额,折扣率,利润,地区,颜色,尺码,客户ID,利润率
DD101594,2024-08-14,8,上衣,卫衣,200.0,1,200.0,100,118.62,东北,米色,L,C10565,59.31
DD100197,2024-05-14,5,配饰,围巾,150.0,2,270.0,90,178.66,华中,白色,XXL,C10249,66.17
DD100240,2024-06-18,6,上衣,衬衫,170.0,1,170.0,100,94.13,西南,黑色,S,C10246,55.37
DD102127,2024-07-15,7,上衣,T恤,360.0,2,720.0,100,453.75,西南,驼色,XXL,C10384,63.02
DD101588,2024-07-25,7,裤装,休闲裤,210.0,2,399.0,95,200.73,华南,灰色,M,C10085,50.31
DD101935,2024-10-17,10,连衣裙,衬衫裙,620.0,1,620.0,100,332.33,华南,灰色,M,C10081,53.6
DD101663,2024-12-17,12,上衣,衬衫,340.0,1,306.0,90,184.26,华南,驼色,L,C10309,60.22
DD100487,2024-10-18,10,连衣裙,衬衫裙,410.0,1,410.0,100,206.16,华南,米色,S,C10361,50.28
DD100791,2024-05-24,5,裤装,牛仔裤,210.0,1,178.5,85,102.0,华南,黑色,XL,C10024,57.14
DD102079,2024-12-16,12,上衣,针织衫,330.0,1,330.0,100,199.48,华中,灰色,M,C10585,60.45
DD102351,2024-10-06,10,连衣裙,针织裙,520.0,1,520.0,100,300.56,华东,墨绿,M,C10006,57.8
DD101323,2024-10-19,10,上衣,T恤,130.0,1,130.0,100,73.08,华南,灰色,M,C10515,56.22
DD100171,2024-10-06,10,裤装,休闲裤,370.0,1,370.0,100,176.85,西南,白色,M,C10518,47.8
DD100045,2024-01-06,1,连衣裙,A字裙,470.0,1,376.0,80,200.09,华南,白色,M,C10084,53.22
DD100057,2024-10-26,10,连衣裙,针织裙,620.0,1,620.0,100,315.88,东北,白色,L,C10074,50.95
DD100176,2024-05-22,5,外套,风衣,630.0,1,598.5,95,285.5,东北,藏青,XL,C10380,47.7
DD101581,2024-10-19,10,上衣,针织衫,250.0,3,525.0,70,292.52,华中,黑色,L,C10118,55.72
DD101719,2024-11-03,11,裤装,短裤,370.0,4,1480.0,100,677.78,华南,酒红,L,C10526,45.8
